source,C1,C2,C3,C4,C5,C6,BC1C20,BC1C30,BC1C40,BC1C50,BC1C60,BC2C30,BC2C40,BC2C50,BC2C60,BC3C40,BC3C50,BC3C60,BC4C50,BC4C60,BC5C60
BC1C60,0.0041666667,0.0031250000,0.0043402778,0.0057291667,0.0039930556,0.0020833333,0.0048611111,0.0062500000,0.0048611111,0.0060763889,0,0.0041666667,0.0041666667,0.0041666667,0.0027777778,0.0053819444,0.0053819444,0.0036458333,0.0053819444,0.0055555556,0.0034722222
BC2C30,0.0043402778,0.0010416667,0.0017361111,0.0036458333,0.0039930556,0.0020833333,0.0036458333,0.0043402778,0.0050347222,0.0060763889,0.0041666667,0,0.0020833333,0.0020833333,0.0013888889,0.0027777778,0.0027777778,0.0024305556,0.0041666667,0.0055555556,0.0034722222
BC2C40,0.0043402778,0.0010416667,0.0038194444,0.0015625000,0.0034722222,0.0020833333,0.0036458333,0.0064236111,0.0036458333,0.0055555556,0.0041666667,0.0020833333,0,0.0020833333,0.0013888889,0.0029513889,0.0048611111,0.0036458333,0.0020833333,0.0036458333,0.0034722222
BC2C50,0.0043402778,0.0010416667,0.0038194444,0.0036458333,0.0020833333,0.0020833333,0.0036458333,0.0064236111,0.0050347222,0.0041666667,0.0041666667,0.0020833333,0.0020833333,0,0.0013888889,0.0048611111,0.0034722222,0.0036458333,0.0034722222,0.0055555556,0.0026041667
BC2C60,0.0036458333,0.0003472222,0.0029513889,0.0029513889,0.0026041667,0.0006944444,0.0029513889,0.0055555556,0.0043402778,0.0046875000,0.0027777778,0.0013888889,0.0013888889,0.0013888889,0,0.0039930556,0.0039930556,0.0022569444,0.0034722222,0.0041666667,0.0020833333
BC3C40,0.0041666667,0.0038194444,0.0010416667,0.0013888889,0.0032986111,0.0032986111,0.0048611111,0.0036458333,0.0034722222,0.0053819444,0.0053819444,0.0027777778,0.0029513889,0.0048611111,0.0039930556,0,0.0020833333,0.0017361111,0.0019097222,0.0034722222,0.0038194444
BC3C50,0.0057291667,0.0038194444,0.0010416667,0.0032986111,0.0013888889,0.0032986111,0.0064236111,0.0036458333,0.0053819444,0.0034722222,0.0053819444,0.0027777778,0.0048611111,0.0034722222,0.0039930556,0.0020833333,0,0.0017361111,0.0027777778,0.0053819444,0.0019097222
BC3C60,0.0053819444,0.0026041667,0.0006944444,0.0031250000,0.0031250000,0.0015625000,0.0052083333,0.0032986111,0.0052083333,0.0052083333,0.0036458333,0.0024305556,0.0036458333,0.0036458333,0.0022569444,0.0017361111,0.0017361111,0,0.0036458333,0.0050347222,0.0029513889
BC4C50,0.0032986111,0.0031250000,0.0029513889,0.0005208333,0.0013888889,0.0032986111,0.0039930556,0.0053819444,0.0026041667,0.0034722222,0.0053819444,0.0041666667,0.0020833333,0.0034722222,0.0034722222,0.0019097222,0.0027777778,0.0036458333,0,0.0026041667,0.0019097222
BC4C60,0.0048611111,0.0045138889,0.0045138889,0.0020833333,0.0039930556,0.0034722222,0.0055555556,0.0069444444,0.0041666667,0.0060763889,0.0055555556,0.0055555556,0.0036458333,0.0055555556,0.0041666667,0.0034722222,0.0053819444,0.0050347222,0.0026041667,0,0.0045138889
BC5C60,0.0052083333,0.0024305556,0.0029513889,0.0024305556,0.0005208333,0.0013888889,0.0050347222,0.0055555556,0.0045138889,0.0026041667,0.0034722222,0.0034722222,0.0034722222,0.0026041667,0.0020833333,0.0038194444,0.0019097222,0.0029513889,0.0019097222,0.0045138889,0
